# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	40644	41084	+	NP_040634.1			NinB	NinB	2703497	lambdap63	441	146	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	41081	41953	+					NinC	2703498	lambdap64	873		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	41081	41953	+	NP_040635.1			NinC protein	NinC	2703498	lambdap64	873	290	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	41950	42123	+					NinD	2703499	lambdap65	174		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	41950	42123	+	NP_040636.1			NinD protein	NinD	2703499	lambdap65	174	57	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	42090	42272	+					NinE	2703500	lambdap66	183		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	42090	42272	+	NP_040637.1			NinE protein	NinE	2703500	lambdap66	183	60	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	42269	42439	+					NinF	2703501	lambdap67	171		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	42269	42439	+	NP_040638.1			NinF protein	NinF	2703501	lambdap67	171	56	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	42429	43043	+					NinG	2703474	lambdap68	615		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	42429	43043	+	NP_040639.1			NinG protein	NinG	2703474	lambdap68	615	204	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	43040	43246	+					NinH	2703475	lambdap69	207		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	43040	43246	+	NP_040640.1			NinH protein	NinH	2703475	lambdap69	207	68	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	43224	43889	+					NinI	2703476	lambdap70	666		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	43224	43889	+	NP_040641.1			NinI protein	NinI	2703476	lambdap70	666	221	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	43886	44509	+					Q	2703477	lambdap71	624		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	43886	44509	+	NP_040642.1			late gene regulator	Q	2703477	lambdap71	624	207	
gene	other	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	44587	44780	+						2703521	lambdap72	194		
mRNA		GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	44587	44780	+				mRNA-pr' transcription (late genes) mRNA		2703521	lambdap72	194		
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	44621	44815	+					orf-64	2703478	lambdap73	195		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	44621	44815	+	NP_040643.1			hypothetical protein	orf-64	2703478	lambdap73	195	64	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	45186	45509	+					S	2703479	lambdap74	324		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	45186	45509	+	NP_040644.1			anti-holin	S	2703479	lambdap74	324	107	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	45192	45509	+					S'	5740919	lambdap92	318		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	45192	45509	+	YP_001551775.1			holin	S'	5740919	lambdap92	318	105	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	45493	45969	+					R	2703480	lambdap75	477		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	45493	45969	+	NP_040645.1			endolysin	R	2703480	lambdap75	477	158	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	45966	46427	+					Rz	2703481	lambdap76	462		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	45966	46427	+	NP_040646.1			cell lysis protein	Rz	2703481	lambdap76	462	153	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	46186	46368	+					Rz1	5739319	lambdap91	183		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	46186	46368	+	YP_001551744.1			Rz1 protein	Rz1	5739319	lambdap91	183	60	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	46459	46752	-					bor	2703532	lambdap77	294		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	46459	46752	-	NP_597780.1			Bor protein precursor	bor	2703532	lambdap77	294	97	
gene	protein_coding	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	47042	47575	-						2703533	lambdap78	534		
CDS	with_protein	GCF_000840245.1	Primary assembly	segment	Unknown	NC_001416.1	47042	47575	-	NP_597781.1			putative envelope protein		2703533	lambdap78	534	177	
